trackid,trackname,artist,artistid,genres,main_genre,danceability,energy,loudness,speechness,acousticness,instrumentalness,liveness,valence,tempo
0uvXKZhHrG4RebkboGPvVR,rhodes,electronicfirefly,0qpvaqwllP8YkZNDJq4zGw, ,electronic,0.666,0.745,-8.385,0.0465,0.152,0.0638,0.0975,0.86,90.032
14qQVSGcxvPJ5oclFIgKDb,liquid breath 46 - 494,electronic waves,76njKl9PZjeFGyXq6FXsKT, ,electronic,0.144,0.000695,-38.845,0.0487,0.927,0.96,0.122,0.0578,137.259
1JjUJUycDSFvZK0iWGWFW9,baby you're one of a kind (chill electronic music remix),greg sletteland,1UiwiBUiZQ4JkuSNnlSOmB, ,electronic,0.728,0.589,-11.947,0.0463,4.71e-05,0.56,0.0627,0.637,125.023
1LMcGd1NfMsbWYxAlHEyDO,feather crash,electronicfirefly,0qpvaqwllP8YkZNDJq4zGw, ,electronic,0.678,0.694,-9.954,0.0559,0.153,0.878,0.117,0.669,180.233
5DrpyVuzIoZ79dvzyzFELR,mutiny on the electronic bay,against me!,29lz7gs8edwnnfuXW4FhMl, folkpunk gainesvilleindie orgcore punk skatepunk ,electronic,0.369,0.965,-5.747,0.0473,3.39e-05,0.0,0.105,0.823,174.492
5LJ3F6BPFfwpjbzYQN2cIx,one more time hands up hollywood (electronic dance party remix),greg sletteland,1UiwiBUiZQ4JkuSNnlSOmB, ,electronic,0.69,0.711,-10.146,0.0406,0.000332,0.0889,0.109,0.373,128.002
2Gl0xdYcjTkMnqEm687VZB,lose my defenses (yoga & pilates chill electronic music remix),greg sletteland,1UiwiBUiZQ4JkuSNnlSOmB, ,electronic,0.707,0.426,-13.768,0.0384,0.0875,0.935,0.109,0.665,124.018
4PtXXdT0TgT0H26VWV43Ao,seal,esprit 空想,6eDKMXn3OBIkI8jcY7JtlI, hardvapour vaporwave ,electronic,0.377,0.688,-6.923,0.0331,1.73e-05,0.911,0.298,0.066,175.876
4SrN4pFPq6VqJfMONZZ8Lk,play that thing again,esprit 空想,6eDKMXn3OBIkI8jcY7JtlI, hardvapour vaporwave ,electronic,0.442,0.709,-8.441,0.0368,0.0911,0.639,0.0705,0.202,145.939
3MahTJomELxGxWrJy6sym1,exhibit a,jay electronica,0TkqXdyWLsssJH7okthMPQ, alternativehiphop conscioushiphop hiphop psychedelichiphop rap southernhiphop undergroundhiphop ,electronic,0.474,0.719,-6.097,0.19,0.179,0.0,0.0779,0.142,85.941
6bUkvdQwk8LfmoX3O6cAnE,give me one reason,tom & collins,1XU5MjR4kex9BGyY4UMtta, mexicanedm ,electronic,0.892,0.844,-3.718,0.0617,0.011,3.89e-05,0.0342,0.747,114.988
3diE8Oq8se24ZKwvdlSNLb,don't dream it's over,tom & collins,1XU5MjR4kex9BGyY4UMtta, mexicanedm ,electronic,0.824,0.702,-5.472,0.0568,0.0154,6.44e-06,0.0487,0.571,123.969
6l4i9epAmeDeogehYNPtjj,savage,tom & collins,1XU5MjR4kex9BGyY4UMtta, mexicanedm ,electronic,0.787,0.651,-8.768,0.0449,0.131,0.475,0.0962,0.159,121.995
2SvktLubYdZU6Se9yNKIsp,oui oui,tom & collins,1XU5MjR4kex9BGyY4UMtta, mexicanedm ,electronic,0.922,0.675,-5.515,0.0362,0.0749,0.00205,0.109,0.501,120.0
4lWRe6xt3C6QibYTfj4h1I,hollow,tom & collins,1XU5MjR4kex9BGyY4UMtta, mexicanedm ,electronic,0.652,0.853,-4.472,0.034,0.0733,6.51e-06,0.279,0.39,115.98
7ayJbUoDbRv1WdSL6Oz8jZ,welcome to los angeles (electronic dance music festival dj hits remix),greg sletteland,1UiwiBUiZQ4JkuSNnlSOmB, ,electronic,0.646,0.716,-11.665,0.0282,0.000851,0.757,0.179,0.53,124.008
6xsohTVL2NviYJJiOjwbB0,feeling it feel it dj (jakarta electronic dance music festival hits remix),greg sletteland,1UiwiBUiZQ4JkuSNnlSOmB, ,electronic,0.737,0.778,-12.257,0.0379,0.325,0.807,0.0942,0.403,123.996
7g3PJowZcNYvKk5Drtaq6z,bland fiskarna simma,synthnisse electronic band,5iB7DG96H1NRQCgBhHSC3J, ,electronic,0.827,0.782,-7.912,0.0363,0.122,0.0232,0.258,0.845,120.009
0skp1R0cerB93Fmj1A59QI,saturn gemini,rolf klauen,6SCqFvCKV8ekJF8jixJgs4, ,electronic,0.762,0.131,-20.34,0.107,0.923,0.809,0.0928,0.522,169.864
3FDCXX5xQPBKX8axYiBmPF,saturn supernova,rolf klauen,6SCqFvCKV8ekJF8jixJgs4, ,electronic,0.601,0.368,-13.805,0.0366,0.217,0.912,0.114,0.356,128.01
4ogZSgx4d6VIrMwSpe1j46,saturn minuteman,rolf klauen,6SCqFvCKV8ekJF8jixJgs4, ,electronic,0.718,0.182,-29.26,0.0671,0.827,0.00713,0.111,0.96,109.997
1U4tHKvxdMkmN51Ma8Al0o,saturn voyage,rolf klauen,6SCqFvCKV8ekJF8jixJgs4, ,electronic,0.757,0.379,-14.431,0.073,0.0909,0.768,0.0771,0.718,127.896
1vbvbtWA03ZxmoqoTfcqot,saturn flare,rolf klauen,6SCqFvCKV8ekJF8jixJgs4, ,electronic,0.21,0.13,-19.443,0.0384,0.867,0.907,0.114,0.385,109.057
0EPxp8nnCIdglIdsPn06l5,saturn curiosity,rolf klauen,6SCqFvCKV8ekJF8jixJgs4, ,electronic,0.361,0.153,-23.762,0.0554,0.95,0.0248,0.162,0.12,85.025
0QeBTuVL8jVyVIKMdi4D5c,saturn lab,rolf klauen,6SCqFvCKV8ekJF8jixJgs4, ,electronic,0.85,0.452,-21.876,0.196,0.833,0.122,0.0725,0.9,128.002
1vdMR59c79X96iKbqruOto,saturn origin,rolf klauen,6SCqFvCKV8ekJF8jixJgs4, ,electronic,0.78,0.248,-16.541,0.0937,0.0581,0.91,0.104,0.679,127.904
0kgPPDGGvCIrv4khbxVhFs,saturn photon,rolf klauen,6SCqFvCKV8ekJF8jixJgs4, ,electronic,0.636,0.329,-14.026,0.0477,0.0369,0.863,0.111,0.636,127.97
4XCQMEyRMpA7dvuAi8zoxv,saturn plasma,rolf klauen,6SCqFvCKV8ekJF8jixJgs4, ,electronic,0.717,0.357,-14.122,0.0729,0.0757,0.451,0.0863,0.673,127.912
7CI5MHtF2gY6gYml0jqrXe,landing on 51,tangerine dream,1BGN1IdyiSR0ZYrkoKNchl, artrock berlinschool krautrock progressiverock spacerock symphonicrock synthesizer ,electronic,0.391,0.351,-15.426,0.0366,0.0939,0.868,0.113,0.0674,129.423
3lUTHQlniRIqXmxbRlxC0U,warmspot,george clanton,1G5v3lpMz7TeoW0yGpRQHr, chillwave vaporwave ,electronic,0.489,0.583,-9.864,0.0257,0.000717,0.0941,0.0856,0.167,87.056
3QzgCLR0nGHa2y928KwEyE,folkestone,clotho,47BxCwdoIB8uBDUY6KktXs, calminginstrumental ,folk,0.634,0.147,-15.323,0.0619,0.974,0.915,0.112,0.183,90.668
4R2kfaDFhslZEMJqAFNpdd,cardigan,taylor swift,06HL4z0CvFAxyc27GXpf02, dancepop pop popdance ,folk,0.613,0.581,-8.588,0.0424,0.537,0.000345,0.25,0.551,130.033
7bNQvH1gTydxfIetHX3WGC,folkin' around,panic! at the disco,20JZFwl6HVl6yg8a4H3ZqK, baroquepop emo modernrock ,folk,0.569,0.721,-6.623,0.0453,0.182,0.0,0.104,0.751,108.198
4pvb0WLRcMtbPGmtejJJ6y,exile (feat. bon iver),taylor swift,06HL4z0CvFAxyc27GXpf02, dancepop pop popdance ,folk,0.298,0.38,-8.426,0.0287,0.778,5.62e-05,0.11,0.152,75.602
7kj65lgrESm8DDmuRRII1V,folk-metaphysics,milo,0J6PhnVD21GSFoJ9HoadLH, alternativehiphop milwaukeehiphop ,folk,0.606,0.53,-11.066,0.36,0.331,0.0,0.0857,0.166,109.236
0Jlcvv8IykzHaSmj49uNW8,the 1,taylor swift,06HL4z0CvFAxyc27GXpf02, dancepop pop popdance ,folk,0.777,0.357,-6.942,0.0522,0.757,7.28e-06,0.108,0.172,139.883
7IBZ1GqtH7jehIvNtSDClh,folk,axes johnase,28TBLsBz4kiyxGqmT82WSO, ,folk,0.754,0.508,-5.336,0.0368,0.319,0.603,0.366,0.323,119.87
3hUxzQpSfdDqwM3ZTFQY0K,august,taylor swift,06HL4z0CvFAxyc27GXpf02, dancepop pop popdance ,folk,0.532,0.623,-9.208,0.0331,0.538,7.28e-05,0.0925,0.403,89.937
6M6UoxIPn4NOWW0x7JPRfv,young folks,peter bjorn and john,6u11Qbko2N2hP4lTBYjX86, alternativedance baroquepop dance-punk indiepop indierock modernrock newrave swedishalternativerock swedishindiepop ,folk,0.701,0.815,-5.995,0.038,0.0172,0.000627,0.0969,0.67,138.142
6a0mppCZLgjnIKaBaN8sXC,folks,cody jinks,2v7wIbCkIzxOfT3GnqCexD, modernsouthernrock outlawcountry texascountry ,folk,0.734,0.417,-10.562,0.0366,0.219,0.0002,0.0919,0.153,116.388
5kI4eCXXzyuIUXjQra0Cxi,betty,taylor swift,06HL4z0CvFAxyc27GXpf02, dancepop pop popdance ,folk,0.593,0.377,-8.761,0.0253,0.6,0.0,0.0976,0.502,95.939
6VsvKPJ4xjVNKpI8VVZ3SV,invisible string,taylor swift,06HL4z0CvFAxyc27GXpf02, dancepop pop popdance ,folk,0.653,0.452,-11.143,0.055,0.838,7.73e-05,0.108,0.45,83.433
4kliwSj9Y1nOZl3IMcHyeI,fólk fær andlit,hildur guðnadóttir,2lD1D6eEh7xQdBtnl2Ik7Y, cello compositionalambient drone icelandicclassical icelandicexperimental moderncello soundtrack ,folk,0.149,0.0618,-21.878,0.0461,0.994,0.00905,0.107,0.0386,87.913
2Eeur20xVqfUoM3Q7EFPFt,the last great american dynasty,taylor swift,06HL4z0CvFAxyc27GXpf02, dancepop pop popdance ,folk,0.686,0.662,-8.505,0.0413,0.467,0.0023,0.109,0.706,147.922
3PwtBxiuJGVGHFfHjOjTpY,my kinda folk,luke combs,718COspgdWOnwOFpJHRZHS, contemporarycountry ,folk,0.52,0.929,-4.592,0.0451,0.00646,1.56e-06,0.345,0.686,148.147
1MgV7FIyNxIG7WzMRJV5HC,my tears ricochet,taylor swift,06HL4z0CvFAxyc27GXpf02, dancepop pop popdance ,folk,0.456,0.263,-10.63,0.0332,0.806,0.0,0.0749,0.111,129.86
1Ga4sG2axcOul6THIoqtc3,folkvangr,danheim,1J1DiyVfll4d0cos64VSZb, runefolk vikingfolk ,folk,0.687,0.215,-18.409,0.057,0.637,0.83,0.201,0.0815,112.003
2NmsngXHeC1GQ9wWrzhOMf,illicit affairs,taylor swift,06HL4z0CvFAxyc27GXpf02, dancepop pop popdance ,folk,0.559,0.31,-10.445,0.0338,0.881,0.0,0.106,0.46,119.845
1SjS4zvOs3BseptP9oW3sm,folk story,trevor kowalski,4vPiZNfnHqzN52FOn38BEv, backgroundmusic calminginstrumental focus ,folk,0.356,0.0464,-19.662,0.0328,0.959,0.895,0.133,0.0706,84.906
7kt9e9LFSpN1zQtYEl19o1,this is me trying,taylor swift,06HL4z0CvFAxyc27GXpf02, dancepop pop popdance ,folk,0.515,0.476,-9.843,0.0328,0.314,4.74e-05,0.171,0.412,135.886
3XUoK60Lyhtf9qyqJrppKq,nysnö,folksaga,3fRnbMogVMgEwoyHPx00nf, ,folk,0.301,0.0194,-26.948,0.0401,0.966,0.927,0.0988,0.059,112.158
0ZNU020wNYvgW84iljPkPP,mirrorball,taylor swift,06HL4z0CvFAxyc27GXpf02, dancepop pop popdance ,folk,0.553,0.413,-10.037,0.0334,0.687,2.33e-06,0.0594,0.379,110.107
2iMnxtYdKsxn8V2MRTnEkV,folk-hop sound,judah & the lion,3wWtfT7S2uVJJ3hGZlOLkZ, banjo folk-pop indiepoptimism indiecoustica modernalternativerock modernrock poprock stompandholler ,folk,0.528,0.739,-8.729,0.0445,0.00189,0.00847,0.168,0.448,72.013
6KJqZcs9XDgVck7Lg9QOTC,seven,taylor swift,06HL4z0CvFAxyc27GXpf02, dancepop pop popdance ,folk,0.596,0.488,-10.769,0.0274,0.9,2.7e-05,0.091,0.415,94.926
3w1CGboIXoK3xnwMXmt9fS,folk song from the settlement on the edge of the earth,sewerperson,6bPjJVb3mKaiW1qIT0b7ZF, emorap sadrap ,folk,0.417,0.38,-11.817,0.0538,0.69,0.000679,0.109,0.0727,169.94
3n61p4bD8YnksjhVuONs7a,folk bloodbath,noam pikelny,33bp8SqQpV7SzeYxSj714C, banjo bluegrass instrumentalbluegrass old-time progressivebluegrass ,folk,0.393,0.146,-18.763,0.0394,0.976,0.0138,0.0709,0.473,94.635
2wvMC5EyaaYQwBfiwwY2xE,life's been good,joe walsh,5bDxAyJiTYBat1YnFJhvEK, albumrock bluesrock classicrock countryrock folkrock hardrock heartlandrock mellowgold rock rootsrock softrock southernrock symphonicrock ,folk,0.505,0.476,-12.897,0.0711,0.25,0.00915,0.113,0.542,99.31
3wvqBVJRwSlG6886ol0tuB,folks like us,montgomery gentry,3bGXaFVQLASmDMdjjeJr8a, contemporarycountry country countryroad moderncountryrock redneck ,folk,0.626,0.886,-2.669,0.0466,0.0588,4.4e-06,0.0964,0.654,113.99
7MbT4I8qGntX4fMdqMQgke,peace,taylor swift,06HL4z0CvFAxyc27GXpf02, dancepop pop popdance ,folk,0.647,0.272,-12.906,0.0916,0.918,1.73e-05,0.0918,0.339,150.044
1GUHhE5ffJ6X9omIjGsSwv,folks like us,evil ebenezer,1E1u1P7Fse6SKnETGdo6XK, bcundergroundhiphop canadianhiphop canadianoldschoolhiphop outerhiphop ,folk,0.765,0.584,-8.11,0.12,0.0139,0.0,0.126,0.227,123.199
2QDyYdZyhlP2fp79KZX8Bi,mad woman,taylor swift,06HL4z0CvFAxyc27GXpf02, dancepop pop popdance ,folk,0.592,0.699,-8.995,0.0471,0.655,1.68e-05,0.114,0.506,141.916
6B1KINMmfnlRc1zba5hq6m,folklore,the 86'd,70mwvoUPClQKirUhM5pHwy, ,folk,0.593,0.672,-7.574,0.0425,0.774,0.00365,0.111,0.355,113.177
08fa9LFcFBTcilB3iq2e2A,epiphany,taylor swift,06HL4z0CvFAxyc27GXpf02, dancepop pop popdance ,folk,0.354,0.267,-13.69,0.0281,0.731,0.000402,0.0858,0.113,94.219
7keBgZMlUHcNiASzH9Lt8Y,folktales,nik davies,1EsgtNtQU8pnkxWyxeCgJH, instrumentalacousticguitar ,folk,0.597,0.57,-10.58,0.0466,0.752,0.881,0.145,0.891,124.632
6MWoRt97mnSTXZhu3ggi9C,hoax,taylor swift,06HL4z0CvFAxyc27GXpf02, dancepop pop popdance ,folk,0.662,0.181,-15.065,0.0415,0.966,3.86e-06,0.133,0.429,118.819
5FZcZW8t2fHdXMPT4bhJ5N,folklore and tall tales,w. c. lindsay,2z7ea3omQjruaEUjfDSHpZ, ,folk,0.773,0.663,-5.927,0.112,0.299,0.00408,0.518,0.674,91.984
0eFQWVz0qIxDOvhLpZ40P7,the lakes - bonus track,taylor swift,06HL4z0CvFAxyc27GXpf02, dancepop pop popdance ,folk,0.313,0.258,-11.532,0.0383,0.842,1.3e-06,0.0948,0.268,179.947
6e9POsatLdTrXO4j5Y9nxd,folklor,marwan pablo,56chSp36PsMhpQvUn1kdR3, egyptianhiphop ,folk,0.837,0.62,-9.391,0.198,0.0204,0.00261,0.089,0.626,147.98
2w7O4XCRoIJrwF1NqKL9TM,take it all back 2.0,judah & the lion,3wWtfT7S2uVJJ3hGZlOLkZ, banjo folk-pop indiepoptimism indiecoustica modernalternativerock modernrock poprock stompandholler ,folk,0.441,0.802,-6.411,0.0305,0.0104,6.25e-05,0.123,0.783,148.023
2sZ1zWeLaquu9tx8IUMuh7,the folks who live on the hill,joshua redman,3uaHfXYx9Fh4HjqMbrWn5S, bebop contemporaryjazz contemporarypost-bop cooljazz hardbop indiejazz jazz jazzfunk jazzfusion jazzsaxophone souljazz straight-aheadjazz ,folk,0.428,0.3,-8.885,0.034,0.937,0.658,0.168,0.235,122.667
2ZYBwkmtYhgUj1A7teYAZ7,suit and jacket,judah & the lion,3wWtfT7S2uVJJ3hGZlOLkZ, banjo folk-pop indiepoptimism indiecoustica modernalternativerock modernrock poprock stompandholler ,folk,0.452,0.58,-8.613,0.0462,0.222,3.23e-05,0.101,0.111,164.162
58nxGpcCfNDiqmFXklOslz,six feet under - jerry folk remix,billie eilish,6qqNVTkY8uBg9cP3Jd7DAH, electropop pop ,folk,0.447,0.216,-12.815,0.0508,0.66,0.011,0.139,0.0396,134.868
7svPsdes3vQESrTJrpQ1cj,folkvangr,peter gundry,0HCkZtmMJLvUyWT5m0ojBX, runefolk ,folk,0.378,0.311,-15.147,0.0336,0.832,0.942,0.234,0.303,119.994
4pfrrhvplbJZAIsfosGWQP,the 1,taylor swift,06HL4z0CvFAxyc27GXpf02, dancepop pop popdance ,folk,0.78,0.361,-6.942,0.048,0.75,7.14e-06,0.108,0.163,139.902
1uOpGeKg6ikCb9YM2Hgbpb,folk song,the sundays,4nlqDmbzFzbNITaqjJv7D7, alternativepop alternativerock dreampop lilith newwavepop poprock ,folk,0.496,0.217,-11.79,0.0282,0.861,0.0127,0.25,0.32,109.59
0KRYCBwIpWYFNrXOmXbyUh,cardigan,taylor swift,06HL4z0CvFAxyc27GXpf02, dancepop pop popdance ,folk,0.612,0.58,-8.572,0.0419,0.525,0.000414,0.26,0.534,130.045
3OvLR86LoNNNWQ8KDmpD9S,folk jam,pavement,3inCNiUr4R6XQ3W43s9Aqi, alternativepop alternativerock anti-folk artrock dancerock dreampop freakfolk indiepop indierock lo-fi modernrock newwave rock ,folk,0.485,0.653,-10.526,0.0314,0.185,0.0163,0.156,0.443,148.864
6nK2pIKFcRc5frrZKHgsiT,august,taylor swift,06HL4z0CvFAxyc27GXpf02, dancepop pop popdance ,folk,0.387,0.634,-9.222,0.0363,0.553,6.93e-05,0.0931,0.42,89.567
1PmBDmmwofvSm4WYUUbwSv,folksy core,enzo notario,4qojPU8aJwWgO0qw8IyRBj, ,folk,0.449,0.295,-19.062,0.0307,0.0195,0.97,0.436,0.894,140.093
5S4aYQAJOwJMAamANWlICO,exile (feat. bon iver),taylor swift,06HL4z0CvFAxyc27GXpf02, dancepop pop popdance ,folk,0.31,0.374,-8.464,0.0275,0.761,2.46e-05,0.11,0.16,75.938
17DzpofunUE1ozsZ0IknNu,folks,superspreader,6XKtx9L6hdLZZMy0ViEuKQ, ,folk,0.6,0.501,-13.632,0.0373,0.0467,0.932,0.0724,0.946,160.067
75DjPjiIp2fvJDjtt41Jfs,gossip folks (feat. ludacris),missy elliott,2wIVse2owClT7go1WT98tk, dancepop hiphop hippop pop poprap r&b rap urbancontemporary virginiahiphop ,folk,0.707,0.538,-5.264,0.505,0.362,0.0,0.317,0.439,121.732
7rJRYP73BI3LLFtteweC2F,a life where we work out (feat. kaitlin butts),flatland cavalry,4SfGzWmeoNPKIOmiyc7Pav, rootsamericana texascountry ,folk,0.596,0.501,-7.456,0.0263,0.14,0.000424,0.111,0.402,152.04
468vI2GIQ02ukQpiLNdMCr,folkfest,fakkboiz,11PpNNR6WoXGTEDLiTjdfe, russelater ,folk,0.662,0.913,-5.524,0.0739,0.0122,0.000251,0.732,0.396,131.98
27Vadyfurx3OlIwjhFaBNT,old folks,southside players,2uQxsyKZGF2T1q5j0NI4fh, ,folk,0.285,0.26,-15.524,0.0376,0.882,0.941,0.108,0.119,181.757
2olxzvoFI9IpxqFeUv7WOX,the last great american dynasty,taylor swift,06HL4z0CvFAxyc27GXpf02, dancepop pop popdance ,folk,0.688,0.653,-8.558,0.0403,0.481,0.00414,0.106,0.701,147.991
5P2bHCDM2tsgIaYWsZMhu5,my tears ricochet,taylor swift,06HL4z0CvFAxyc27GXpf02, dancepop pop popdance ,folk,0.456,0.265,-10.663,0.0328,0.814,0.0,0.0679,0.112,129.947
3IhtE4fkytdrtEfV34UzkD,betty,taylor swift,06HL4z0CvFAxyc27GXpf02, dancepop pop popdance ,folk,0.595,0.376,-8.767,0.0256,0.589,0.0,0.0989,0.476,95.946
2ehRU518I0hYqMGQnk4lDY,invisible string,taylor swift,06HL4z0CvFAxyc27GXpf02, dancepop pop popdance ,folk,0.651,0.459,-11.128,0.0507,0.859,6.63e-05,0.105,0.454,83.455
7cm50Lw03k6VvRauJtkyTj,this is me trying,taylor swift,06HL4z0CvFAxyc27GXpf02, dancepop pop popdance ,folk,0.511,0.478,-9.837,0.0322,0.312,2.3e-05,0.147,0.408,135.882
2I8YAEA1VmCuP1wkJHMpTw,mirrorball,taylor swift,06HL4z0CvFAxyc27GXpf02, dancepop pop popdance ,folk,0.549,0.417,-10.064,0.035,0.686,1.9e-06,0.0604,0.347,110.137
6DrLROM5MG9bxWHeEG5elq,illicit affairs,taylor swift,06HL4z0CvFAxyc27GXpf02, dancepop pop popdance ,folk,0.529,0.304,-10.567,0.0356,0.862,0.0,0.108,0.44,119.58
1BsvAobGiVCaqRAixv22CW,country folks (feat. colt ford & danny boone),bubba sparxxx,3RPYHNSwe3w0mtfJwKIN9P, atlhiphop countryrap dirtysouthrap poprap redneck southernhiphop ,folk,0.632,0.788,-5.329,0.0533,0.249,0.0,0.156,0.747,96.009
76mOLcXOjOEhyY4mMF1l3r,seven,taylor swift,06HL4z0CvFAxyc27GXpf02, dancepop pop popdance ,folk,0.602,0.494,-10.813,0.0277,0.888,2.59e-05,0.0902,0.374,94.955
6JlI8Ay77m4nJvZTHvfT1J,peace,taylor swift,06HL4z0CvFAxyc27GXpf02, dancepop pop popdance ,folk,0.644,0.284,-12.879,0.0821,0.916,1.5e-05,0.0909,0.328,150.072
0RP1kqoSPkVXsKiQNhMKzV,mad woman,taylor swift,06HL4z0CvFAxyc27GXpf02, dancepop pop popdance ,folk,0.593,0.7,-9.016,0.0492,0.67,6.77e-06,0.116,0.451,141.898
22F01qwlQDpxjPN8UQFz8n,po' folks (feat. anthony hamilton),nappy roots,3tCxM1rTj2qUXsiQZxvt2I, dirtysouthrap gangsterrap southernhiphop ,folk,0.854,0.847,-3.03,0.258,0.212,0.0,0.0894,0.651,86.062
0YeDG5HnKnG7jpArkzsSPa,hoax,taylor swift,06HL4z0CvFAxyc27GXpf02, dancepop pop popdance ,folk,0.676,0.178,-15.01,0.0394,0.964,7.9e-06,0.135,0.404,118.84
1EXa37LpSvi3OQ9UYQ28rD,epiphany,taylor swift,06HL4z0CvFAxyc27GXpf02, dancepop pop popdance ,folk,0.317,0.254,-13.679,0.0286,0.727,0.000326,0.0867,0.103,93.933
5POM2lseA6sONqP0O9pxWC,if all of the raindrops,old town school of folk music,68xJjwAFcVSDmF9vTlnqi8, children'sfolk children'smusic kindierock preschoolchildren'smusic ,folk,0.73,0.335,-8.2,0.0802,0.679,0.0,0.26,0.73,147.794
14BLMhpVsywOPvT7zOaFu5,old folks,tim walker-price,3rRxzD0o5wUqEFkCwaKiI9, backgroundjazz ,folk,0.457,0.0991,-17.951,0.0481,0.994,0.94,0.101,0.141,126.759
5RxiYD50AlzGAINxxFoBN2,uptown folks,dope lemon,7oZLKL1GjYiaAgssXsLmW8, australianindie ,folk,0.475,0.824,-4.935,0.0395,0.0846,0.155,0.136,0.408,117.239
1lobDzMJEFga3VXJdGg8Xa,"romanian folk dances, sz 56: iii. pe-loc - andante",béla bartók,5zyNXVd952fWOjkdGHCvPd, classical earlymodernclassical neoclassicism ,folk,0.558,0.0214,-37.894,0.0467,0.976,0.953,0.0815,0.0571,87.632
7N015NTIWGjQDddHUdHPoO,exile (feat. bon iver) - the long pond studio sessions,taylor swift,06HL4z0CvFAxyc27GXpf02, dancepop pop popdance ,folk,0.359,0.305,-10.295,0.0306,0.848,6.74e-05,0.111,0.108,151.956
1iWAx1WGCY6j2zAMdACQ6E,black folk,schoolboy q,5IcR3N7QB1j6KBL8eImZ8m, gangsterrap hiphop poprap rap southernhiphop trap undergroundhiphop ,folk,0.734,0.902,-6.076,0.396,0.831,0.00106,0.226,0.4,155.097
3PJIm3MO6lDQqlUSyMkD8b,not folk,dafi woo,2tnCa8dbzufbpNECEaQi01, newyorkdrill ,folk,0.734,0.599,-8.824,0.384,0.366,0.0,0.225,0.356,137.07
7bFqfMKnKsZJH9FytUXg3E,exile (feat. bon iver) - the long pond studio sessions,taylor swift,06HL4z0CvFAxyc27GXpf02, dancepop pop popdance ,folk,0.359,0.305,-10.295,0.0306,0.848,6.74e-05,0.111,0.108,151.956
0EYBK3ZxxO8VlN5cJ9MiYN,one i want,flatland cavalry,4SfGzWmeoNPKIOmiyc7Pav, rootsamericana texascountry ,folk,0.499,0.539,-7.949,0.0269,0.0298,0.000145,0.131,0.39,86.97
27Es1J9GNKf0pZLy3sdzjl,if i was a folkstar,the avalanches,3C8RpaI3Go0yFF9whvKoED, alternativedance australianalternativerock australiandance collagepop electronica newrave psychedelichiphop ,folk,0.669,0.917,-8.06,0.0471,0.575,0.801,0.0968,0.923,123.179
5Cmf3LmbLd9g79rS55X7qK,the real folk blues,mai yamane,2jakCNqkEhdRND7btwoFOj, ,folk,0.364,0.79,-6.252,0.0424,0.000532,0.0022,0.134,0.455,159.94
05CKxyJP3ZFRyMkY9idpCZ,cloud walk,martin greenbaum,2OaV087psXxou4fTQOpfdh, backgroundpiano ,folk,0.33,0.0332,-29.002,0.0481,0.992,0.948,0.126,0.0583,121.526
7xNpCuqDKASx2f64nkhzNm,imaginary folklore,clammbon,1gpNGL4WHSegm0WXj2j1m0, j-poprock j-rock japanesealternativepop japanesealternativerock japanesedreampop shibuya-kei ,folk,0.602,0.792,-8.463,0.0331,0.146,0.887,0.118,0.345,93.743
0eQYcwhnWvq1jIzmrJvAQ9,ole folks,crahms,3ezRgYzA0uurhovYKfsHj0, ,folk,0.829,0.142,-19.328,0.0589,0.11,0.941,0.111,0.869,126.71
5dwQhzeE8LXpl9sbZJZmQS,the lakes - bonus track,taylor swift,06HL4z0CvFAxyc27GXpf02, dancepop pop popdance ,folk,0.509,0.262,-11.531,0.0311,0.85,1.68e-06,0.0851,0.287,89.846
00bOhb4584JjyfTiXX81mO,the weight,the staple singers,7xGGqA85UIWX1GoTVM4itC, chicagosoul classicsoul funk memphissoul motown quietstorm soul southernsoul ,folk,0.629,0.387,-13.667,0.0386,0.424,0.0,0.0479,0.497,76.003
4bRfMTaUtQn1QvowPx47ZD,take it all back,judah & the lion,3wWtfT7S2uVJJ3hGZlOLkZ, banjo folk-pop indiepoptimism indiecoustica modernalternativerock modernrock poprock stompandholler ,folk,0.424,0.826,-9.139,0.166,0.00874,3.35e-05,0.333,0.779,149.936
08J4bMHbILkwSIhbtrcvjN,the 1 - the long pond studio sessions,taylor swift,06HL4z0CvFAxyc27GXpf02, dancepop pop popdance ,folk,0.708,0.25,-10.731,0.0361,0.898,0.026,0.102,0.156,139.803
3EPgWM1zfTSzEc0z4AwWTM,cardigan - the long pond studio sessions,taylor swift,06HL4z0CvFAxyc27GXpf02, dancepop pop popdance ,folk,0.395,0.234,-9.704,0.0382,0.88,0.0,0.107,0.247,86.478
4MGexoZc12lqE0hYkq9YYx,august - the long pond studio sessions,taylor swift,06HL4z0CvFAxyc27GXpf02, dancepop pop popdance ,folk,0.554,0.663,-8.961,0.0324,0.5,4.77e-05,0.791,0.545,89.977
5mdNyCS7ttVcAyVYOIFEjs,my tears ricochet - the long pond studio sessions,taylor swift,06HL4z0CvFAxyc27GXpf02, dancepop pop popdance ,folk,0.531,0.172,-12.34,0.0351,0.946,1.01e-05,0.0615,0.168,129.007
7ompCdUDzOZEqVcCJSGLzH,old folks,david hazeltine,5mQGacj97PLCoX9YOEGf0Q, modernjazzpiano ,folk,0.454,0.0917,-24.28,0.0338,0.971,0.823,0.19,0.2,101.868
